,Player,Span,Mat,Inns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5
0,M Muralitharan (Asia/ICC/SL),1993-2011,350,341,18811,12326,534,30-Jul,23.08,3.93,35.2,15,10
1,Wasim Akram (PAK),1984-2003,356,351,18186,11812,502,15-May,23.52,3.89,36.2,17,6
2,Waqar Younis (PAK),1989-2003,262,258,12698,9919,416,Jul-36,23.84,4.68,30.5,14,13
3,WPUJC Vaas (Asia/SL),1994-2008,322,320,15775,11014,400,19-Aug,27.53,4.18,39.4,9,4
4,Shahid Afridi (Asia/ICC/PAK),1996-2015,398,372,17670,13632,395,12-Jul,34.51,4.62,44.7,4,9
5,SM Pollock (Afr/ICC/SA),1996-2008,303,297,15712,9631,393,Jun-35,24.5,3.67,39.9,12,5
6,GD McGrath (AUS/ICC),1993-2007,250,248,12970,8391,381,15-Jul,22.02,3.88,34,9,7
7,B Lee (AUS),2000-2012,221,217,11185,8877,380,22-May,23.36,4.76,29.4,14,9
8,SL Malinga (SL),2004-2019,226,220,10936,9760,338,Jun-38,28.87,5.35,32.3,11,8
9,A Kumble (Asia/INDIA),1990-2007,271,265,14496,10412,337,12-Jun,30.89,4.3,43,8,2
10,ST Jayasuriya (Asia/SL),1989-2011,445,368,14874,11871,323,29-Jun,36.75,4.78,46,8,4
11,J Srinath (INDIA),1991-2003,229,227,11935,8847,315,23-May,28.08,4.44,37.8,7,3
12,DL Vettori (ICC/NZ),1997-2015,295,277,14060,9674,305,7-May,31.71,4.12,46,8,2
13,SK Warne (AUS/ICC),1993-2005,194,191,10642,7541,293,May-33,25.73,4.25,36.3,12,1
14,AB Agarkar (INDIA),1998-2007,191,188,9484,8021,288,Jun-42,27.85,5.07,32.9,10,2
15,Saqlain Mushtaq (PAK),1995-2003,169,165,8770,6275,288,20-May,21.78,4.29,30.4,11,6
16,Z Khan (Asia/INDIA),2000-2012,200,197,10097,8301,282,May-42,29.43,4.93,35.8,7,1
17,JH Kallis (Afr/ICC/SA),1996-2014,328,283,10750,8680,273,30-May,31.79,4.84,39.3,2,2
18,AA Donald (SA),1991-2003,164,162,8561,5926,272,23-Jun,21.78,4.15,31.4,11,2
19,Abdul Razzaq (Asia/PAK),1996-2011,265,254,10941,8564,269,Jun-35,31.83,4.69,40.6,8,3
20,JM Anderson (ENG),2002-2015,194,191,9584,7861,269,23-May,29.22,4.92,35.6,11,2
21,Harbhajan Singh (Asia/INDIA),1998-2015,236,227,12479,8973,269,31-May,33.35,4.31,46.3,2,3
22,Mashrafe Mortaza (Asia/BDESH),2001-2019,217,217,10789,8759,266,26-Jun,32.92,4.87,40.5,7,1
23,M Ntini (ICC/SA),1998-2009,173,171,8687,6559,266,22-Jun,24.65,4.53,32.6,8,4
24,Shakib Al Hasan (BDESH),2006-2019,206,203,10517,7857,260,29-May,30.21,4.48,40.4,8,2
25,N Kapil Dev (INDIA),1978-1994,225,221,11202,6945,253,May-43,27.45,3.71,44.2,3,1
26,Shoaib Akhtar (Asia/ICC/PAK),1998-2011,163,162,7764,6169,247,16-Jun,24.97,4.76,31.4,6,4
27,KD Mills (NZ),2001-2015,170,169,8230,6485,240,25-May,27.02,4.72,34.2,8,1
28,MG Johnson (AUS),2005-2015,153,150,7489,6038,239,Jun-31,25.26,4.83,31.3,9,3
29,HH Streak (Afr/ZIM),1993-2005,189,185,9468,7129,239,May-32,29.82,4.51,39.6,7,1
30,D Gough (ENG/ICC),1994-2006,159,156,8470,6209,235,May-44,26.42,4.39,36,10,2
31,CA Walsh (WI),1985-2000,205,204,10822,6918,227,1-May,30.47,3.83,47.6,6,1
32,CEL Ambrose (WI),1988-2000,176,175,9353,5429,225,17-May,24.12,3.48,41.5,6,4
33,Abdur Razzak (BDESH),2004-2014,153,152,7965,6065,207,29-May,29.29,4.56,38.4,5,4
34,CZ Harris (NZ),1990-2004,250,232,10667,7613,203,May-42,37.5,4.28,52.5,2,1
35,CJ McDermott (AUS),1985-1996,138,138,7461,5018,203,May-44,24.71,4.03,36.7,4,1
36,CL Cairns (ICC/NZ),1991-2006,215,186,8168,6594,201,May-42,32.8,4.84,40.6,3,1
37,DJ Bravo (WI),2004-2014,164,150,6511,5874,199,Jun-43,29.51,5.41,32.7,6,1
38,KMDN Kulasekara (SL),2003-2017,184,181,8263,6751,199,22-May,33.92,4.9,41.5,4,1
39,BKV Prasad (INDIA),1994-2001,161,160,8129,6332,196,27-May,32.3,4.67,41.4,3,1
40,DW Steyn (Afr/SA),2005-2019,125,124,6256,5087,196,Jun-39,25.95,4.87,31.9,4,3
41,SR Waugh (AUS),1986-2002,325,207,8883,6761,195,Apr-33,34.67,4.56,45.5,3,0
42,CL Hooper (WI),1987-2003,227,203,9573,6958,193,Apr-34,36.05,4.36,49.6,3,0
43,L Klusener (SA),1996-2004,171,164,7336,5751,192,Jun-49,29.95,4.7,38.2,1,6
44,M Morkel (Afr/SA),2007-2018,117,114,5760,4761,188,21-May,25.32,4.95,30.6,7,2
45,CRD Fernando (Asia/SL),2001-2012,147,141,6507,5648,187,27-Jun,30.2,5.2,34.7,3,1
46,TG Southee (NZ),2008-2019,140,138,7021,6373,186,Jul-33,34.26,5.44,37.7,4,3
47,Saeed Ajmal (PAK),2008-2015,113,112,6000,4182,184,24-May,22.72,4.18,32.6,6,2
48,Aaqib Javed (PAK),1988-1998,163,159,8012,5721,182,Jul-37,31.43,4.28,44,2,4
49,Imran Khan (PAK),1974-1992,175,153,7461,4844,182,14-Jun,26.61,3.89,40.9,3,1
